サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
11,,オシダ,NA,NA,,0.2,NA,NA,NA
12,B2,アオダモ,0,0.5,0.5,3,NA,479,0.5
12,B2,イタヤカエデ,0,0.5,0.5,0.5,NA,491,0.5
12,B2,ウリハダカエデ,0,3,1,2,NA,492,3
12,B2,オオカメノキ,4,8,35,20,NA,493,4
12,B2,オオバクロモジ,5,6,5,8,NA,494,4
12,B2,コシアブラ,0.5,0.5,2,4,NA,495,0.5
12,B2,トチノキ,0,0.5,0.5,0.5,NA,496,0.5
12,B2,ナナカマド,0,0.5,0.5,0.5,NA,497,0.5
12,B2,ノリウツギ,1,0,0,0,NA,498,0
12,B2,ハイイヌガヤ,0.5,0,0,1,NA,499,0
12,B2,ハイイヌツゲ,0.5,4,3,2,NA,500,3
12,B2,ヒメアオキ,3,5,1,4,NA,501,4
12,B2,ブナ,5,12,5,4,NA,502,5
12,B2,ミズキ,2,0,0,,NA,503,0
12,B2,メイゲツカエデ,0,4,5,2,NA,504,3
12,B2,ヤマウルシ,0,2,7,8,NA,505,2
12,B2,ヤマモミジ,0,2,1,3,NA,506,2
12,B2,マユミ,4,0,0,,NA,507,0
12,B2,ヒメモチ,NA,NA,1,1,NA,508,NA
12,B2,オオイタヤメイゲツ,NA,NA,5,0,NA,509,NA
12,B2,ウワミズザクラ,NA,NA,1,1,NA,510,NA
12,C,シノブカグマ,0,0.5,1,1.5,NA,511,0.5
12,C,シラネワラビ,6,15,40,15,NA,512,5
12,C,ツルアリドオシ,2,2,3,3,NA,513,2
12,C,ツルリンドウ,0,0.5,0,,NA,514,0.5
12,C,ナライシダ,0,1,1,,NA,515,1
12,C,ミヤマウズラ,0,0.5,1,,NA,516,0.5
12,C,ミヤマカンスゲ,0,20,30,20,NA,517,6
12,C,ヤマイヌワラビ,0,0.5,0.5,0.5,NA,518,0.5
12,C,ヤマソテツ,0,0.5,5,8,NA,519,0.5
12,C,ユキザサ,2,2,1,0.5,NA,520,2
12,C,コカンスゲ,5,0,0,0,NA,521,0
12,C,ツリバナ,NA,NA,0.5,1,NA,522,NA
12,C,チゴユリ,NA,NA,1,0.5,NA,523,NA
12,C,コマユミ,NA,NA,0.5,0.2,NA,524,NA
12,S,チシマザサ,8,0.5,40,30,NA,525,0.5
13,B2,アオダモ,0,2,2,2,NA,529,2
13,B2,イタヤカエデ,0,1,0.5,0.5,NA,538,1
13,B2,ウリハダカエデ,0.5,5,1,1,NA,539,4
13,B2,ウワミズザクラ,4,0,0,2,NA,540,0
13,B2,オオカメノキ,5,10,25,20,NA,541,5
13,B2,オオバクロモジ,4,10,10,25,NA,542,5
13,B2,コシアブラ,0.5,1,5,14,NA,543,1
13,B2,コマユミ,0.5,0,0,0.2,NA,544,0
13,B2,ツノハシバミ,0.5,0,0,0,NA,545,0
